date,transferred,transferUnit,bandwidth,bandwidthUnit,jitter,jitterUnit,writeError,writePercentage
2018-10-26_17:59:19,107,MBytes,90.0,Mbits/sec,0.878,ms,9071/85063,(11%)
2018-10-26_17:59:29,144,MBytes,60.3,Mbits/sec,0.070,ms,67442/170143,(40%)
2018-10-26_17:59:39,165,MBytes,45.6,Mbits/sec,13.448,ms,137449/255184,(54%)
2018-10-26_17:59:49,174,MBytes,36.1,Mbits/sec,0.199,ms,215832/340202,(63%)
2018-10-26_17:59:59,170,MBytes,28.0,Mbits/sec,13.924,ms,304221/425278,(72%)
2018-10-26_18:00:10,191,MBytes,26.2,Mbits/sec,13.855,ms,374122/510407,(73%)
2018-10-26_18:00:20,186,MBytes,21.9,Mbits/sec,13.784,ms,462762/595429,(78%)
2018-10-26_18:00:30,192,MBytes,19.8,Mbits/sec,0.185,ms,543490/680393,(80%)
2018-10-26_18:00:40,187,MBytes,17.2,Mbits/sec,0.094,ms,632075/765645,(83%)
2018-10-26_18:00:51,100,MBytes,8.27,Mbits/sec,14.718,ms,741410/813030,(91%)
2018-10-26_18:01:01,97.5,MBytes,7.30,Mbits/sec,7.933,ms,743734/813314,(91%)
