date,interval,timeUnit,transferred,transferUnit,bandwidth,bandwidthUnit,write-error,pps,ppsLabel
2018-10-01_12:33:29,0.00-10.00,sec,119,MBytes,100,Mbits/sec,85031/10,8503,pps
2018-10-01_12:33:40,0.00-10.00,sec,239,MBytes,200,Mbits/sec,170144/10,17006,pps
2018-10-01_12:33:50,0.00-10.00,sec,358,MBytes,300,Mbits/sec,255097/10,25510,pps
2018-10-01_12:34:02,0.00-10.00,sec,477,MBytes,400,Mbits/sec,340208/10,34013,pps
2018-10-01_12:34:12,0.00-10.00,sec,596,MBytes,500,Mbits/sec,425360/10,42516,pps
2018-10-01_12:34:24,0.00-10.00,sec,716,MBytes,600,Mbits/sec,510433/10,51020,pps
2018-10-01_12:34:34,0.00-10.00,sec,835,MBytes,700,Mbits/sec,595456/10,59523,pps
2018-10-01_12:34:46,0.00-10.00,sec,954,MBytes,800,Mbits/sec,680479/10,68026,pps
2018-10-01_12:34:56,0.00-10.00,sec,1.05,GBytes,900,Mbits/sec,765648/10,76530,pps
2018-10-01_12:35:08,0.00-10.00,sec,1.11,GBytes,956,Mbits/sec,813177/5607499,81321,pps
